,area,bedrooms,property_type,rooms,year_built
244,72,2,1,3,1990
245,70,3,0,4,1945
246,84,3,0,4,1906
247,50,1,1,2,1906
248,90,2,1,4,1910
249,193,4,0,6,2003
250,85,2,1,3,1986
251,90,2,1,4,1970
252,67,1,1,2,1931
253,180,2,0,4,1967
254,141,3,1,4,2002
255,47,1,1,2,1906
256,58,1,1,2,1927
257,76,2,1,3,1961
258,46,1,1,2,1904
259,58,1,1,2,1940
260,82,2,1,3,1891
261,77,3,0,5,1960
262,65,3,0,4,1927
263,64,2,1,3,1930
264,147,3,1,6,1906
265,78,2,1,3,2008
266,58,2,1,3,1939
267,59,2,1,3,1935
268,105,3,1,4,2008
269,71,2,1,3,1945
270,138,3,1,4,1906
271,56,2,1,3,1931
272,65,2,1,3,1906
273,61,2,1,3,1906
274,60,2,1,3,1906
275,68,3,1,4,1950
276,55,3,1,4,1906
277,57,1,1,2,1882
278,55,2,0,3,1930
279,63,2,1,4,1931
280,39,1,1,2,1886
281,113,3,0,4,2015
282,141,3,0,4,2017
283,45,1,1,2,1906
284,85,3,1,4,1960
285,138,4,1,8,1906
286,141,3,0,4,2017
287,140,3,0,4,2017
288,64,1,1,3,1934
289,96,2,1,3,1906
290,54,2,1,3,1930
291,37,1,1,2,1915
292,90,2,1,3,2002
293,60,1,1,2,1981
294,50,1,1,2,1934
295,80,1,1,2,1888
296,62,1,1,2,1880
297,76,3,0,4,1922
298,58,1,1,2,1999
299,75,2,1,3,1982
300,38,1,1,2,1930
301,88,3,1,4,1998
302,105,2,1,3,2008
303,72,1,1,2,2002
304,90,2,1,3,2008
305,182,4,1,6,1988
306,68,2,1,3,1962
307,65,2,1,3,1985
308,82,3,0,4,1930
309,52,1,1,2,1988
310,75,3,0,4,1945
311,75,2,1,3,1998
312,105,2,1,3,1965
313,69,2,1,3,1989
314,109,3,1,4,1907
315,54,2,1,3,1936
316,60,2,1,3,1931
317,100,2,1,3,1990
318,133,3,1,4,1906
319,56,1,1,2,1960
320,75,2,1,3,1910
321,88,3,1,4,1928
322,92,3,1,5,1984
323,98,2,1,3,1996
324,74,3,1,4,1967
325,122,4,0,5,1981
326,84,2,1,3,2007
327,56,2,1,3,1906
328,86,2,1,3,2005
329,102,3,1,4,1960
330,215,4,0,9,2005
331,80,3,1,4,1960
332,68,2,1,3,1906
333,115,4,0,5,1997
334,91,1,1,3,1934
335,90,2,1,3,2009
336,75,2,1,3,1963
337,75,3,1,4,1930
338,116,4,1,5,1981
339,179,4,0,5,2015
340,81,3,1,4,1963
341,37,1,1,2,1915
342,66,3,1,4,1931
343,85,2,1,3,1984
344,67,2,1,3,1906
345,72,2,1,3,1985
346,53,1,1,2,1906
347,85,3,1,4,1985
348,53,2,1,3,1930
349,128,3,0,5,1933
350,92,3,1,4,2013
351,53,1,1,2,1977
352,57,2,0,3,1925
353,57,2,0,3,1923
354,42,1,1,2,1920
355,56,1,1,2,1986
356,72,1,1,2,1965
357,98,3,1,4,1991
358,84,3,1,4,1968
359,147,3,0,4,1979
360,114,3,1,4,1974
361,85,2,1,4,1928
362,381,7,0,9,1879
363,35,1,0,2,1966
364,92,2,1,3,2009
365,103,3,1,4,1968
366,220,3,0,8,1697
367,86,2,1,3,1906
368,66,1,1,2,1723
369,64,1,1,2,1978
370,156,3,0,4,2016
371,172,4,1,5,1690
372,55,1,1,1,1936
373,195,6,1,8,1914
374,71,2,1,3,1960
375,95,3,1,4,2007
376,58,2,1,3,1984
377,64,1,1,3,1926
378,60,2,1,3,1925
379,121,4,1,5,2009
380,55,1,1,2,1982
381,277,7,0,9,1930
382,73,2,1,3,1984
383,60,2,1,3,1963
384,54,1,1,2,1987
385,45,1,1,2,1987
386,86,2,1,3,1990
387,216,5,0,7,1924
388,35,1,1,2,1906
389,43,1,1,2,1986
390,54,2,1,3,1906
391,50,2,1,3,1923
392,75,3,1,4,1930
393,125,3,0,4,1987
394,62,3,0,4,1926
395,73,2,1,3,1983
396,97,3,1,4,1970
397,48,2,1,3,1931
398,60,2,1,3,1906
399,122,4,1,5,1970
400,52,2,1,3,1931
401,58,1,1,2,1970
402,118,2,1,3,2005
403,100,3,1,4,1968
404,111,2,1,4,1968
405,135,3,1,4,1966
406,111,2,1,3,1960
407,135,3,1,5,1968
408,124,4,0,5,1970
409,43,1,1,2,1906
410,46,1,1,1,2003
411,90,2,1,3,1998
412,55,1,1,2,1906
413,75,2,1,3,1906
414,79,3,1,4,1963
415,125,4,1,5,1910
416,84,2,1,3,2010
417,57,1,1,2,1924
418,60,1,1,2,1974
419,65,2,1,4,1938
420,72,2,1,3,1906
421,161,4,0,7,1998
422,135,2,1,4,1906
423,104,3,1,4,1976
424,59,1,1,2,1906
425,52,1,1,2,1984
426,119,2,1,4,2006
427,76,2,1,3,2004
428,65,2,1,3,1906
429,31,1,1,2,1886
430,57,2,0,3,1906
431,140,3,0,4,2017
432,75,2,1,3,1976
433,140,3,0,4,2017
434,90,3,1,4,1969
435,203,3,0,4,2017
436,134,3,0,4,2017
437,55,1,1,2,1933
438,85,4,0,6,1959
439,54,2,1,3,1906
440,41,1,1,2,1964
441,58,2,1,4,1935
442,56,1,1,2,1891
443,71,2,1,3,1934
444,57,2,1,3,1936
445,66,2,1,3,1906
446,160,4,0,5,2003
447,124,4,0,5,2007
448,52,1,1,2,1890
449,66,2,1,3,1931
450,139,3,1,4,2001
451,50,1,1,2,1968
452,44,1,1,2,1926
453,111,3,1,5,1906
454,60,2,1,3,1963
455,70,2,1,3,2006
456,100,2,1,3,2009
457,58,1,1,2,1981
458,75,3,0,4,1945
459,115,2,1,3,1906
460,141,3,0,4,2017
461,28,1,1,2,1910
462,614,6,0,14,1906
463,54,1,1,2,1899
464,81,2,1,3,2004
465,55,1,1,2,1906
466,47,1,0,3,1918
467,125,3,1,4,2012
468,111,3,1,5,1904
469,96,3,1,4,2017
470,110,3,1,4,2017
471,35,1,1,2,1906
472,71,1,1,3,1945
473,164,2,1,3,2017
474,124,3,0,5,1991
475,98,3,1,4,1932
476,74,1,1,2,1906
477,109,3,0,5,1995
478,66,1,1,2,1906
479,83,2,1,4,1945
480,72,3,1,4,1962
481,50,2,1,3,1940
482,527,3,0,13,1911
483,95,3,1,4,1928
484,87,2,0,3,1950
485,46,1,1,2,1934
486,60,2,1,3,1906
487,102,3,0,4,1985
488,86,2,1,3,2008
489,86,2,1,3,1981
490,91,2,1,4,1931
491,60,2,1,3,1906
492,50,1,1,2,1906
493,76,2,1,3,1991
494,88,2,1,3,2008
495,105,4,1,5,1960
496,133,4,0,5,2005
497,51,2,1,3,1906
498,253,5,0,8,1985
499,67,2,1,4,1921
500,93,2,1,3,1997
501,43,1,1,2,1930
502,145,2,1,3,2005
503,42,1,1,2,1915
504,51,2,1,3,1983
505,133,4,0,7,1906
506,52,2,1,3,1925
507,53,2,1,3,1934
508,59,1,1,3,1913
509,90,2,0,3,2007
510,64,2,1,3,1954
511,103,3,1,4,1906
512,85,3,1,4,1981
513,85,2,1,3,1969
514,90,2,1,3,1880
515,133,4,0,5,2006
516,63,2,1,3,1648
517,107,3,1,4,1955
518,82,3,1,4,1982
519,112,3,1,4,1932
520,44,1,1,2,1903
521,112,2,1,4,1995
522,174,2,1,3,2017
523,190,2,1,3,2017
524,205,2,1,3,2017
525,225,2,1,3,2017
526,86,2,1,3,2004
527,184,2,1,3,2017
528,67,2,1,3,1963
529,65,3,1,4,2011
530,72,2,1,3,1963
531,91,2,1,3,1969
532,79,2,1,3,1906
533,29,1,1,1,2012
534,68,2,1,3,1890
535,67,2,1,3,1931
536,61,2,1,3,1984
537,59,2,1,3,1972
538,89,2,1,4,1906
539,222,5,1,7,1931
540,63,2,1,3,1906
541,80,3,1,4,1906
542,76,2,1,3,1910
543,76,2,1,3,1984
544,71,2,1,3,1940
545,96,2,1,3,2009
546,60,2,1,3,1911
547,61,1,1,2,1906
548,48,2,1,3,1906
549,50,2,1,3,1935
550,54,1,1,2,1987
551,98,2,0,4,1964
552,117,4,0,5,1960
553,220,4,0,5,1906
554,65,2,1,3,1966
555,77,1,1,2,1754
556,145,4,1,5,1906
557,167,3,1,5,1906
558,50,2,0,3,1919
559,77,1,1,2,1754
560,120,3,1,4,2017
561,123,4,1,5,1970
562,83,3,1,4,1980
563,118,3,1,4,2017
564,72,3,1,4,1925
565,118,3,1,4,2017
566,80,3,1,4,1960
567,250,4,0,9,1961
568,35,1,1,2,1900
569,48,2,1,3,1924
570,70,2,1,3,1984
571,70,2,1,3,2000
572,91,2,1,3,2011
573,75,2,1,3,1965
